dataset,image_name,output_filename,house_id,confidence,model,method,height_m,floors,distance_m,is_top_clipped
august_test,etgmkne_.JPG,aug_etgmkne_.JPG,2,0.89,M1,fallback,5.50,2,6.09,False
august_test,etgmkne_.JPG,aug_etgmkne_.JPG,3,0.89,M2,fallback,5.66,2,6.49,False
august_test,etgmknlegnk.JPG,aug_etgmknlegnk.JPG,1,1.00,M1,fallback,9.02,3,5.83,False
august_test,etkgme_.JPG,aug_etkgme_.JPG,1,0.98,M1,ref:car(sedan),9.56,3,5.56,True
august_test,etlnlkrn.JPG,aug_etlnlkrn.JPG,1,0.99,M2,fallback,12.08,4,6.97,True
august_test,ewkfn.ek.JPG,aug_ewkfn.ek.JPG,1,1.00,M1,ref:person,15.36,5,3.89,False
august_test,ewnkflwefnkl.JPG,aug_ewnkflwefnkl.JPG,1,1.00,M1,fallback,12.86,4,6.49,False
august_test,fbgjkejk.JPG,aug_fbgjkejk.JPG,1,1.00,M1,fallback,8.53,3,6.63,False
august_test,fbgjkejk.JPG,aug_fbgjkejk.JPG,2,0.56,M1,fallback,5.97,2,6.65,False
august_test,fdnldla.JPG,aug_fdnldla.JPG,1,1.00,M1,fallback,6.33,2,5.72,False
august_test,fdnldla.JPG,aug_fdnldla.JPG,2,0.96,M1,fallback,6.63,2,5.88,False
august_test,fjksd.JPG,aug_fjksd.JPG,1,0.99,M2,fallback,5.87,2,6.49,False
august_test,fkmdfsd.JPG,aug_fkmdfsd.JPG,1,0.95,M2,fallback,5.81,2,7.50,False
august_test,fkmdfsd.JPG,aug_fkmdfsd.JPG,2,0.44,M1,fallback,5.62,2,6.35,False
august_test,flsdlk.JPG,aug_flsdlk.JPG,1,0.99,M1,fallback,7.40,2,5.85,False
august_test,flsdlk.JPG,aug_flsdlk.JPG,2,0.72,M1,fallback,9.33,3,6.57,False
august_test,flsdlk.JPG,aug_flsdlk.JPG,3,0.99,M1,fallback,6.82,2,7.47,False
august_test,fnjk.JPG,aug_fnjk.JPG,1,1.00,M2,fallback,6.11,2,5.66,False
august_test,fnlsds.JPG,aug_fnlsds.JPG,1,0.95,M1,ref:car(sedan),15.62,5,6.64,False
august_test,fsbm.JPG,aug_fsbm.JPG,1,1.00,M1,fallback,16.06,5,9.32,False
august_test,fsv.JPG,aug_fsv.JPG,1,1.00,M1,fallback,11.94,4,5.73,False
august_test,gnkjrbg.JPG,aug_gnkjrbg.JPG,1,0.50,M1,ref:person,10.81,4,14.81,False
august_test,gnkjrbg.JPG,aug_gnkjrbg.JPG,2,1.00,M2,ref:person,10.26,3,23.85,False
august_test,jedfa.JPG,aug_jedfa.JPG,1,0.69,M2,fallback,11.80,4,6.51,False
august_test,jedfa.JPG,aug_jedfa.JPG,2,0.98,M2,fallback,15.31,5,6.76,False
august_test,jgnaernr.JPG,aug_jgnaernr.JPG,1,1.00,M1,ref:car(SUV),5.18,2,26.15,False
august_test,jgnaernr.JPG,aug_jgnaernr.JPG,2,0.46,M2,ref:car(SUV),5.87,2,26.15,False
august_test,jkbjl.JPG,aug_jkbjl.JPG,1,0.98,M1,ref:car(SUV),5.80,2,8.62,False
august_test,jkbjl.JPG,aug_jkbjl.JPG,2,0.93,M2,ref:car(SUV),5.76,2,8.32,False
august_test,jkrf.JPG,aug_jkrf.JPG,1,0.69,M2,fallback,7.93,3,6.39,False
august_test,jkrf.JPG,aug_jkrf.JPG,2,0.63,M2,fallback,6.18,2,6.37,False
august_test,jkrf.JPG,aug_jkrf.JPG,3,0.81,M2,fallback,7.74,3,6.39,False
august_test,jktgeekjb.JPG,aug_jktgeekjb.JPG,1,1.00,M2,fallback,7.10,2,5.69,False
august_test,"jsdbjs,dn.JPG","aug_jsdbjs,dn.JPG",1,0.97,M1,fallback,9.06,3,6.61,False
august_test,"jsdbjs,dn.JPG","aug_jsdbjs,dn.JPG",2,0.57,M2,fallback,5.72,2,7.26,False
august_test,jsefb.JPG,aug_jsefb.JPG,1,1.00,M1,fallback,11.16,4,6.81,False
august_test,kefnw_kl.JPG,aug_kefnw_kl.JPG,1,0.58,M2,fallback,8.79,3,7.52,True
august_test,kefnw_kl.JPG,aug_kefnw_kl.JPG,2,0.99,M1,fallback,8.85,3,6.29,True
august_test,kenfjkrk.JPG,aug_kenfjkrk.JPG,1,0.98,M1,fallback,8.48,3,7.42,False
august_test,kenfjkrk.JPG,aug_kenfjkrk.JPG,2,0.48,M1,fallback,11.98,4,7.50,True
august_test,kfbgkrgbk.JPG,aug_kfbgkrgbk.JPG,1,1.00,M2,fallback,7.62,3,5.98,False
august_test,kfrkrf.JPG,aug_kfrkrf.JPG,1,0.99,M2,fallback,9.24,3,7.50,False
august_test,kfrkrf.JPG,aug_kfrkrf.JPG,2,0.95,M1,fallback,8.41,3,7.44,False
august_test,klwn.JPG,aug_klwn.JPG,1,0.98,M1,fallback,22.62,8,8.88,False
august_test,kwnfwke.JPG,aug_kwnfwke.JPG,1,0.94,M2,fallback,5.39,2,6.27,False
august_test,lkfnwlke.JPG,aug_lkfnwlke.JPG,1,1.00,M1,ref:car(sedan),20.09,7,3.35,False
august_test,lkmwfne_kl.JPG,aug_lkmwfne_kl.JPG,1,0.99,M2,fallback,9.64,3,6.87,False
august_test,lrknwkl.JPG,aug_lrknwkl.JPG,1,0.96,M2,ref:car(SUV),6.23,2,31.28,True
august_test,lrknwkl.JPG,aug_lrknwkl.JPG,2,0.97,M1,ref:car(SUV),6.54,2,16.81,False
august_test,nlgrrkle.JPG,aug_nlgrrkle.JPG,1,0.83,M2,fallback,5.15,2,6.18,False
august_test,nlgrrkle.JPG,aug_nlgrrkle.JPG,2,0.97,M2,fallback,7.19,2,5.72,False
august_test,nlgrrkle.JPG,aug_nlgrrkle.JPG,3,0.68,M1,fallback,5.34,2,5.81,False
august_test,nlgrrkle.JPG,aug_nlgrrkle.JPG,4,0.79,M1,fallback,5.74,2,5.67,False
august_test,qekljndl.JPG,aug_qekljndl.JPG,1,0.78,M2,fallback,14.26,5,9.15,False
august_test,qekljndl.JPG,aug_qekljndl.JPG,2,1.00,M2,fallback,14.98,5,8.69,True
august_test,rfnkrk.JPG,aug_rfnkrk.JPG,1,1.00,M2,fallback,11.84,4,5.91,False
august_test,rfnl.JPG,aug_rfnl.JPG,1,0.59,M2,ref:person,6.44,2,2.10,False
august_test,rfnl.JPG,aug_rfnl.JPG,2,1.00,M1,ref:person,7.26,2,1.77,False
august_test,rgkjfbas.JPG,aug_rgkjfbas.JPG,1,1.00,M1,fallback,9.98,3,6.74,False
august_test,rgkjfbas.JPG,aug_rgkjfbas.JPG,2,0.71,M2,ref:car(SUV),23.19,8,16.36,False
august_test,rjwkafbl.JPG,aug_rjwkafbl.JPG,1,0.98,M1,fallback,9.89,3,6.29,True
august_test,rkelnwrl.JPG,aug_rkelnwrl.JPG,1,0.93,M2,fallback,5.11,2,5.25,False
august_test,sfln.JPG,aug_sfln.JPG,1,1.00,M1,fallback,6.40,2,6.03,False
august_test,sfln.JPG,aug_sfln.JPG,2,0.76,M2,fallback,4.38,1,6.47,False
august_test,sjnfvj.JPG,aug_sjnfvj.JPG,1,1.00,M2,fallback,5.28,2,5.69,False
august_test,w grwkl.JPG,aug_w grwkl.JPG,1,0.96,M1,fallback,10.80,4,6.99,False
august_test,w_fmw_fm.JPG,aug_w_fmw_fm.JPG,1,1.00,M1,fallback,9.46,3,5.88,False
august_test,wfljbsj.JPG,aug_wfljbsj.JPG,1,0.63,M1,ref:motorcycle,7.45,2,8.17,False
august_test,wfljbsj.JPG,aug_wfljbsj.JPG,2,0.99,M1,fallback,13.41,4,6.35,True
august_test,wfnl.JPG,aug_wfnl.JPG,1,0.99,M2,fallback,8.78,3,6.68,False
august_test,wklfan.JPG,aug_wklfan.JPG,1,0.59,M1,fallback,8.53,3,8.21,False
august_test,wklfan.JPG,aug_wklfan.JPG,2,1.00,M1,fallback,9.61,3,6.37,False
august_test,wklfan.JPG,aug_wklfan.JPG,3,0.70,M2,fallback,7.17,2,6.18,False
august_test,wlfnlk.JPG,aug_wlfnlk.JPG,1,1.00,M1,fallback,9.29,3,5.35,False
august_test,wlfnwelkfn.JPG,aug_wlfnwelkfn.JPG,1,1.00,M1,fallback,7.25,2,5.90,False
august_test,wlfnwelkfn.JPG,aug_wlfnwelkfn.JPG,2,0.54,M2,fallback,5.94,2,6.05,False
august_test,wnkflwfkl.JPG,aug_wnkflwfkl.JPG,1,1.00,M1,fallback,15.38,5,7.18,False
august_test,wrklngwrkl.JPG,aug_wrklngwrkl.JPG,1,1.00,M1,ref:car(SUV),8.02,3,1.40,False
august_test,zsrbgkrj.JPG,aug_zsrbgkrj.JPG,1,1.00,M1,fallback,7.54,3,6.45,False
august_test,zsrbgkrj.JPG,aug_zsrbgkrj.JPG,2,0.58,M1,fallback,6.98,2,7.58,False
val_anu,g100.jpeg,val_g100.jpeg,1,0.79,M1,ref:motorcycle,4.73,2,0.99,False
val_anu,g100.jpeg,val_g100.jpeg,2,1.00,M1,ref:motorcycle,2.62,1,1.44,False
val_anu,g101.jpeg,val_g101.jpeg,1,1.00,M1,ref:motorcycle,4.47,1,1.49,False
val_anu,g102.jpeg,val_g102.jpeg,1,1.00,M1,fallback,10.88,4,7.14,False
